# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
RG	NA18873	chr22	35740195	36086251	346057	1001	78.5
RG	NA18873	chr22	36530569	36550491	19923	118	21.9
RG	NA18873	chr22	36774879	36802131	27253	177	5.9
RG	NA18873	chr22	37426013	38314214	888202	4582	88.6
RG	NA18873	chr22	40096045	40123426	27382	126	44.3
RG	NA18873	chr22	41560772	41652190	91419	302	37.2
RG	NA18873	chr22	42515511	42696550	181040	992	60.7
RG	NA18873	chr22	43505240	43632616	127377	737	19.4
RG	NA18873	chr22	44051068	44072820	21753	170	18.7
RG	NA18873	chr22	44184908	44259704	74797	556	68.0
RG	NA18873	chr22	44509491	44558349	48859	450	72.1
RG	NA18873	chr22	44753012	44757983	4972	52	49.7
RG	NA18873	chr22	45539555	45580625	41071	279	40.9
RG	NA18873	chr22	45733410	45832020	98611	545	63.1
RG	NA18873	chr22	46887601	46894914	7314	98	62.4
RG	NA18873	chr22	47178812	47198996	20185	203	27.1
RG	NA18873	chr22	48536320	48554090	17771	153	17.9
RG	NA18873	chr22	49103020	49127727	24708	298	38.9
RG	NA18873	chr22	49138457	49155611	17155	258	34.0
RG	NA18873	chr22	49518160	49528462	10303	101	37.4
RG	NA18873	chr22	49919331	49928073	8743	114	18.7
RG	NA18908	chr22	16796579	16824597	28019	197	25.4
RG	NA18908	chr22	17420328	17509242	88915	644	73.9
RG	NA18908	chr22	17602152	17613394	11243	69	22.2
RG	NA18908	chr22	17911921	17957780	45860	332	53.1
RG	NA18908	chr22	18150679	18976678	826000	237	38.1
RG	NA18908	chr22	18984235	19117638	133404	683	69.3
RG	NA18908	chr22	19886328	19921342	35015	307	44.7
RG	NA18908	chr22	21556402	21627910	71509	301	12.3
RG	NA18908	chr22	22130206	22139152	8947	137	69.8
RG	NA18908	chr22	22176663	22196244	19582	157	17.6
RG	NA18908	chr22	22349342	22370497	21156	275	35.4
RG	NA18908	chr22	22579995	22588424	8430	63	29.5
RG	NA18908	chr22	23755759	23867572	111814	604	76.5
RG	NA18908	chr22	24140105	24191330	51226	247	18.6
RG	NA18908	chr22	24938902	24973833	34932	179	23.3
RG	NA18908	chr22	25070261	25203882	133622	761	46.5
RG	NA18908	chr22	25708333	25755724	47392	223	13.9
RG	NA18908	chr22	26229472	26267196	37725	300	60.9
RG	NA18908	chr22	26788428	26796341	7914	68	24.0
RG	NA18908	chr22	27158616	27213347	54732	400	17.5
RG	NA18908	chr22	27346916	27379550	32635	285	31.4
RG	NA18908	chr22	27991906	28713697	721792	2442	71.5
RG	NA18908	chr22	29125869	29156167	30299	219	35.2
RG	NA18908	chr22	29725296	30224213	498918	2414	80.9
RG	NA18908	chr22	32271204	32323718	52515	355	44.2
RG	NA18908	chr22	32443670	32502215	58546	369	41.5
RG	NA18908	chr22	32651536	32739206	87671	524	59.0
RG	NA18908	chr22	33720380	34466768	746389	4916	89.7
RG	NA18908	chr22	34883753	34898001	14249	79	13.5
RG	NA18908	chr22	35161516	35244789	83274	555	28.6
RG	NA18908	chr22	35529353	35725006	195654	1095	71.7
RG	NA18908	chr22	36685650	36842487	156838	905	78.4
RG	NA18908	chr22	36937634	37142946	205313	1567	83.1
RG	NA18908	chr22	37340261	37356093	15833	161	14.1
RG	NA18908	chr22	38225982	38258647	32666	201	50.5
RG	NA18908	chr22	38994383	39025113	30731	160	14.8
RG	NA18908	chr22	44202726	44224274	21549	182	50.1
RG	NA18908	chr22	44493099	44530519	37421	258	37.2
RG	NA18908	chr22	44620824	44648737	27914	209	24.7
RG	NA18908	chr22	45466771	45501777	35007	171	17.2
RG	NA18908	chr22	45621735	45644469	22735	166	25.9
RG	NA18908	chr22	46367508	46386209	18702	174	33.6
RG	NA18908	chr22	46411337	46426840	15504	162	43.6
RG	NA18908	chr22	47095054	47157062	62009	662	80.5
RG	NA18908	chr22	48675241	48688567	13327	172	13.1
RG	NA18908	chr22	49196699	49243658	46960	644	62.7
RG	NA18908	chr22	49762638	49881409	118772	838	71.3
RG	NA18910	chr22	17969422	18047765	78344	515	74.4
RG	NA18910	chr22	19482678	19571606	88929	422	34.7
RG	NA18910	chr22	19854762	19879748	24987	205	13.7
RG	NA18910	chr22	19893126	19920148	27023	253	13.6
RG	NA18910	chr22	20639718	20664111	24394	211	20.1
RG	NA18910	chr22	22704386	22711596	7211	95	20.6
RG	NA18910	chr22	22811088	22852588	41501	278	59.2
RG	NA18910	chr22	23079550	23109588	30039	209	19.2
RG	NA18910	chr22	24815826	24841311	25486	178	56.4
RG	NA18910	chr22	25204025	25233190	29166	179	26.0
RG	NA18910	chr22	26790025	26827693	37669	302	48.1
RG	NA18910	chr22	32360912	32381136	20225	132	48.1
RG	NA18910	chr22	32434971	32461687	26717	159	32.2
RG	NA18910	chr22	32594886	32623068	28183	178	17.2
RG	NA18910	chr22	32726561	32740900	14340	86	26.5
RG	NA18910	chr22	34242295	34455891	213597	1514	85.1
RG	NA18910	chr22	34461653	34750213	288561	2260	88.9
RG	NA18910	chr22	35494354	35513610	19257	123	29.9
RG	NA18910	chr22	35568111	35585400	17290	124	49.3
RG	NA18910	chr22	35631737	35679738	48002	259	36.2
RG	NA18910	chr22	36058415	36254947	196533	1268	79.3
RG	NA18910	chr22	37582443	37611452	29010	160	35.8
RG	NA18910	chr22	37765993	38040846	274854	1152	21.5
RG	NA18910	chr22	38475408	38762401	286994	1019	72.9
RG	NA18910	chr22	40337947	41362644	1024698	3482	74.5
RG	NA18910	chr22	43900098	43924956	24859	165	45.2
RG	NA18910	chr22	44369771	44386470	16700	194	60.7
RG	NA18910	chr22	46017773	46051154	33382	218	36.8
RG	NA18910	chr22	46507451	46518647	11197	115	15.2
RG	NA18910	chr22	46768775	46874972	106198	725	57.0
RG	NA18910	chr22	47780496	48068042	287547	2427	90.9
RG	NA18910	chr22	48446566	48494785	48220	421	69.3
RG	NA18910	chr22	48688577	48696272	7696	114	37.4
RG	NA18910	chr22	48810028	48851632	41605	414	74.5
RG	NA18910	chr22	48889996	48908475	18480	195	31.4
RG	NA18910	chr22	49506163	49516637	10475	96	31.4
RG	NA18910	chr22	49658507	49682000	23494	219	33.5
RG	NA18917	chr22	17382825	17431232	48408	328	56.1
RG	NA18917	chr22	20015325	20216945	201621	1288	77.1
RG	NA18917	chr22	20290948	20420164	129217	357	26.4
RG	NA18917	chr22	21556402	21741164	184763	894	47.6
RG	NA18917	chr22	22007523	22032378	24856	258	47.1
RG	NA18917	chr22	22430644	22516486	85843	440	63.8
RG	NA18917	chr22	22688121	22748098	59978	643	81.5
RG	NA18917	chr22	22812319	22877569	65251	473	73.2
RG	NA18917	chr22	24815826	24841311	25486	178	56.4
RG	NA18917	chr22	25035541	25107607	72067	447	35.0
RG	NA18917	chr22	26807789	26813609	5821	53	13.6
RG	NA18917	chr22	26900344	26941891	41548	344	52.5
RG	NA18917	chr22	27334933	27396995	62063	538	70.5
RG	NA18917	chr22	29166865	29225488	58624	324	71.4
RG	NA18917	chr22	32463544	32522217	58674	365	43.9
RG	NA18917	chr22	33332049	33343081	11033	110	20.0
RG	NA18917	chr22	33392817	33432082	39266	265	43.8
RG	NA18917	chr22	33755064	33814005	58942	363	37.3
RG	NA18917	chr22	34133318	34193425	60108	391	68.8
RG	NA18917	chr22	34466958	34767218	300261	2347	91.0
RG	NA18917	chr22	36633730	36723571	89842	551	72.9
RG	NA18917	chr22	37400774	37422983	22210	182	46.6
RG	NA18917	chr22	37704033	38258647	554615	2667	82.6
RG	NA18917	chr22	39577468	39618061	40594	210	11.8
RG	NA18917	chr22	42688664	42742096	53433	301	66.1
RG	NA18917	chr22	43285696	43318687	32992	335	36.2
RG	NA18917	chr22	43424975	43469133	44159	356	46.8
RG	NA18917	chr22	44369654	44379542	9889	110	38.5
RG	NA18917	chr22	46349361	46384419	35059	358	61.9
RG	NA18917	chr22	47053505	47095008	41504	393	47.4
RG	NA18917	chr22	48039543	48065409	25867	173	24.8
RG	NA18917	chr22	48351679	48415221	63543	685	81.1
RG	NA18917	chr22	48425537	48439874	14338	202	35.0
RG	NA18917	chr22	48702962	48712513	9552	162	56.7
RG	NA18917	chr22	49067136	49080439	13304	159	38.6
RG	NA18917	chr22	49109008	49129777	20770	245	67.0
RG	NA18917	chr22	49203524	49228443	24920	287	33.6
RG	NA18917	chr22	49328301	49348638	20338	219	73.8
RG	NA18917	chr22	49765101	49927100	162000	1192	86.3
RG	NA18917	chr22	49959817	49999934	40118	232	25.5
RG	NA18917	chr22	50395387	50437285	41899	205	20.0
RG	NA18923	chr22	17348600	17381513	32914	163	31.3
RG	NA18923	chr22	19965939	20019856	53918	409	49.8
RG	NA18923	chr22	20383026	20594914	211889	1100	76.8
RG	NA18923	chr22	21648302	21717506	69205	404	70.6
RG	NA18923	chr22	21742717	21871949	129233	527	55.3
RG	NA18923	chr22	23241719	23334708	92990	657	49.1
RG	NA18923	chr22	23647052	23658719	11668	77	35.8
RG	NA18923	chr22	25035541	25060060	24520	165	23.6
RG	NA18923	chr22	25792872	25858787	65916	496	71.7
RG	NA18923	chr22	26248304	26267196	18893	149	50.6
RG	NA18923	chr22	26563860	26646082	82223	428	37.3
RG	NA18923	chr22	28704989	28910458	205470	809	74.5
RG	NA18923	chr22	32002652	32086290	83639	270	25.7
RG	NA18923	chr22	32475378	32502215	26838	179	16.2
RG	NA18923	chr22	33449563	33572004	122442	786	73.3
RG	NA18923	chr22	33994751	34076528	81778	505	68.3
RG	NA18923	chr22	34468909	34948290	479382	3451	90.1
RG	NA18923	chr22	35060891	35075867	14977	126	9.1
RG	NA18923	chr22	35705814	35733016	27203	139	24.3
RG	NA18923	chr22	36204016	36232236	28221	200	54.7
RG	NA18923	chr22	36615431	36673385	57955	355	46.4
RG	NA18923	chr22	36793330	36851163	57834	371	52.3
RG	NA18923	chr22	37215767	37231968	16202	176	15.6
RG	NA18923	chr22	37833076	37942866	109791	384	21.3
RG	NA18923	chr22	38111040	38187349	76310	417	58.7
RG	NA18923	chr22	38394257	38458423	64167	292	49.9
RG	NA18923	chr22	38817200	38846740	29541	208	21.8
RG	NA18923	chr22	39077518	39098048	20531	157	18.7
RG	NA18923	chr22	39362839	39426648	63810	328	38.5
RG	NA18923	chr22	39547146	39983363	436218	1956	69.5
RG	NA18923	chr22	40649239	40667378	18140	67	23.8
RG	NA18923	chr22	42562981	42685547	122567	725	48.1
RG	NA18923	chr22	43039418	43077163	37746	181	28.7
RG	NA18923	chr22	43507760	43811562	303803	1743	78.3
RG	NA18923	chr22	43941309	44000464	59156	381	28.0
RG	NA18923	chr22	44723345	44762148	38804	326	54.6
RG	NA18923	chr22	44778671	44791173	12503	136	16.4
RG	NA18923	chr22	45221554	45261209	39656	284	47.5
RG	NA18923	chr22	46287218	46367336	80119	592	57.0
RG	NA18923	chr22	46455913	46496992	41080	328	52.5
RG	NA18923	chr22	46581118	46597466	16349	170	55.3
RG	NA18923	chr22	46637062	46726527	89466	754	78.5
RG	NA18923	chr22	46936086	46982580	46495	365	51.8
RG	NA18923	chr22	47156832	47167585	10754	173	30.2
RG	NA18923	chr22	47181014	47276869	95856	801	78.5
RG	NA18923	chr22	48441537	48471660	30124	268	49.9
RG	NA18923	chr22	48752009	48780380	28372	234	37.8
RG	NA18923	chr22	49052664	49071390	18727	186	12.7
RG	NA18923	chr22	49141346	49150683	9338	143	37.8
RG	NA18923	chr22	49493284	49516637	23354	203	69.7
RG	NA18924	chr22	17172140	17187382	15243	96	41.1
RG	NA18924	chr22	17382825	17425818	42994	277	41.3
RG	NA18924	chr22	19037843	19124045	86203	473	69.9
RG	NA18924	chr22	19321484	19497611	176128	713	45.1
RG	NA18924	chr22	19580035	19596674	16640	131	11.9
RG	NA18924	chr22	20038581	20150094	111514	545	81.6
RG	NA18924	chr22	20443123	20577818	134696	621	63.7
RG	NA18924	chr22	20639021	20961700	322680	1436	84.5
RG	NA18924	chr22	20987072	21024609	37538	274	44.7
RG	NA18924	chr22	21443272	21556360	113089	93	57.0
RG	NA18924	chr22	22477687	22515739	38053	157	55.6
RG	NA18924	chr22	22852603	22873311	20709	187	47.0
RG	NA18924	chr22	23079999	23112059	32061	225	12.5
RG	NA18924	chr22	23174610	23225257	50648	434	26.2
RG	NA18924	chr22	24008384	24212294	203911	809	74.4
RG	NA18924	chr22	25982456	26015592	33137	286	54.8
RG	NA18924	chr22	26267455	26284674	17220	126	19.5
RG	NA18924	chr22	26809760	26837542	27783	229	36.5
RG	NA18924	chr22	26863926	26902950	39025	270	59.7
RG	NA18924	chr22	27102880	27120257	17378	155	38.2
RG	NA18924	chr22	27654441	27695298	40858	300	44.8
RG	NA18924	chr22	29797559	30027471	229913	1210	61.3
RG	NA18924	chr22	30056365	30207223	150859	592	63.3
RG	NA18924	chr22	33332652	33342879	10228	100	27.0
RG	NA18924	chr22	33571303	33671558	100256	685	52.0
RG	NA18924	chr22	34218072	34244505	26434	187	45.2
RG	NA18924	chr22	34361922	34400718	38797	298	79.9
RG	NA18924	chr22	34776459	34842383	65925	335	28.5
RG	NA18924	chr22	35047332	35077782	30451	220	55.8
RG	NA18924	chr22	36180702	36208097	27396	238	73.7
RG	NA18924	chr22	36546953	36609773	62821	419	55.7
RG	NA18924	chr22	37107635	37130319	22685	190	34.9
RG	NA18924	chr22	37281258	37307488	26231	199	33.2
RG	NA18924	chr22	39179843	39261051	81209	507	64.2
RG	NA18924	chr22	41012987	41087320	74334	236	10.2
RG	NA18924	chr22	42816426	42934321	117896	676	44.3
RG	NA18924	chr22	43307125	43340275	33151	300	46.2
RG	NA18924	chr22	43823692	43899306	75615	546	39.6
RG	NA18924	chr22	44296602	44327203	30602	253	48.2
RG	NA18924	chr22	46138314	46175059	36746	210	19.0
RG	NA18924	chr22	46386309	46413790	27482	252	56.8
RG	NA18924	chr22	46482058	46509938	27881	189	38.1
RG	NA18924	chr22	46556161	46572930	16770	128	25.0
RG	NA18924	chr22	47562615	47580784	18170	163	61.0
RG	NA18924	chr22	48071010	48100799	29790	258	45.0
RG	NA18924	chr22	48586033	48687848	101816	1278	92.9
RG	NA18924	chr22	49203868	49239987	36120	479	39.7
RG	NA18924	chr22	49312471	49321298	8828	87	16.5
RG	NA18924	chr22	50052243	50080749	28507	236	24.1
RG	NA18933	chr22	16796579	16832354	35776	240	45.3
RG	NA18933	chr22	17853847	18010636	156790	1187	81.5
RG	NA18933	chr22	19038824	19122832	84009	459	70.6
RG	NA18933	chr22	19755141	19822493	67353	472	41.4
RG	NA18933	chr22	20154536	20206338	51803	453	66.0
RG	NA18933	chr22	20755886	20808903	53018	313	22.8
RG	NA18933	chr22	21669861	21717506	47646	289	57.5
RG	NA18933	chr22	22053310	22069397	16088	126	11.9
RG	NA18933	chr22	22086902	22129955	43054	438	25.8
RG	NA18933	chr22	22170254	22181333	11080	75	22.2
RG	NA18933	chr22	22524305	22556814	32510	201	36.9
RG	NA18933	chr22	22668493	22680313	11821	97	39.4
RG	NA18933	chr22	22790315	22803644	13330	90	30.8
RG	NA18933	chr22	23518068	23529784	11717	139	22.7
RG	NA18933	chr22	25107699	25209100	101402	582	63.2
RG	NA18933	chr22	26928864	26969492	40629	390	54.9
RG	NA18933	chr22	27087008	27103241	16234	165	56.8
RG	NA18933	chr22	27361116	27370760	9645	102	18.0
RG	NA18933	chr22	29263734	29398871	135138	520	47.6
RG	NA18933	chr22	30559735	30748397	188663	822	63.8
RG	NA18933	chr22	32331550	32349929	18380	176	43.8
RG	NA18933	chr22	33123468	33146478	23011	157	36.4
RG	NA18933	chr22	33165760	33330615	164856	1110	86.2
RG	NA18933	chr22	34592895	34744191	151297	1083	72.2
RG	NA18933	chr22	35407744	35454084	46341	263	59.4
